state_name_pt,state_name_en,x,y
Alabama,Alabama,139,-77
Alasca,Alaska,-204,-170
Arizona,Arizona,-203,-40
Arcansas,Arkansas,57,-53
Califórnia,California,-297,13
Colorado,Colorado,-112,20
Coneticute,Connecticut,297,96
Delaware,Delaware,275,42
Flórida,Florida,220,-145
Geórgia,Georgia,182,-75
Havaí,Hawaii,-317,-143
Idaho,Idaho,-216,122
Ilinóis,Illinois,95,37
Indiana,Indiana,133,39
Iowa,Iowa,38,65
Cansas,Kansas,-17,5
Kentucky,Kentucky,149,1
Luisiana,Louisiana,59,-114
Maine,Maine,319,164
Marilândia,Maryland,288,27
Massachusetts,Massachusetts,312,112
Míchigan,Michigan,148,101
Minesota,Minnesota,23,135
Mississípi,Mississippi,94,-78
Missúri,Missouri,49,6
Montana,Montana,-141,150
Nebrasca,Nebraska,-61,66
Nevada,Nevada,-257,56
Nova Hampshire,New Hampshire,302,127
Nova Jérsei,New Jersey,282,65
Novo México,New Mexico,-128,-43
Nova Iorque,New York,236,104
Carolina do Norte,North Carolina,239,-22
Dakota do Norte,North Dakota,-44,158
Ohio,Ohio,176,52
Oclaoma,Oklahoma,-8,-41
Óregon,Oregon,-278,138
Pensilvânia,Pennsylvania,238,72
Ilha de Rodes,Rhode Island,318,94
Carolina do Sul,South Carolina,218,-51
Dakota do Sul,South Dakota,-44,109
Tenessi,Tennessee,131,-34
Texas,Texas,-38,-106
Utá,Utah,-189,34
Vermonte,Vermont,282,154
Virgínia,Virginia,234,12
Washington,Washington,-257,193
Virgínia Ocidental,West Virginia,200,20
Wisconsin,Wisconsin,83,113
Wyoming,Wyoming,-134,90